latency,bram,latency_bram_product,design_name,optimizer_name
20477,206,4218262,k15mmtree_relu_imbalanced__opt5,random_search
20476,214,4381864,k15mmtree_relu_imbalanced__opt5,random_search
25622,182,4663204,k15mmtree_relu_imbalanced__opt5,random_search
16482,22,362604,k15mmtree_relu_imbalanced__opt5,group_random_search
22550,14,315700,k15mmtree_relu_imbalanced__opt5,group_random_search
16482,2,32964,k15mmtree_relu_imbalanced__opt5,heuristic
16482,22,362604,k15mmtree_relu_imbalanced__opt5,init_simulated_annealing
22550,14,315700,k15mmtree_relu_imbalanced__opt5,init_simulated_annealing
20472,136,2784192,k15mmtree_relu_imbalanced__opt5,discrete_simulated_annealing
20476,132,2702832,k15mmtree_relu_imbalanced__opt5,discrete_simulated_annealing
20348,184,3744032,k15mmtree_relu_imbalanced__opt5,discrete_simulated_annealing
26394,116,3061704,k15mmtree_relu_imbalanced__opt5,discrete_simulated_annealing
23010,130,2991300,k15mmtree_relu_imbalanced__opt5,discrete_simulated_annealing
20349,148,3011652,k15mmtree_relu_imbalanced__opt5,discrete_simulated_annealing
20428,142,2900776,k15mmtree_relu_imbalanced__opt5,discrete_simulated_annealing
25809,124,3200316,k15mmtree_relu_imbalanced__opt5,discrete_simulated_annealing
16482,0,0,k15mmtree_relu_imbalanced__opt5,grouped_discrete_simulated_annealing
65025,52,3381300,k2mm__opt5,random_search
36376,92,3346592,k2mm__opt5,random_search
64313,60,3858780,k2mm__opt5,random_search
36349,0,0,k2mm__opt5,group_random_search
36349,0,0,k2mm__opt5,heuristic
36349,0,0,k2mm__opt5,init_simulated_annealing
64313,48,3087024,k2mm__opt5,discrete_simulated_annealing
36367,76,2763892,k2mm__opt5,discrete_simulated_annealing
65025,44,2861100,k2mm__opt5,discrete_simulated_annealing
36376,60,2182560,k2mm__opt5,discrete_simulated_annealing
36349,0,0,k2mm__opt5,grouped_discrete_simulated_annealing
85241,103,8779823,k3mm__opt5,random_search
86329,60,5179740,k3mm__opt5,random_search
49090,0,0,k3mm__opt5,group_random_search
49091,130,6381830,k3mm__opt5,heuristic
50193,128,6424704,k3mm__opt5,heuristic
49090,0,0,k3mm__opt5,init_simulated_annealing
85241,65,5540665,k3mm__opt5,discrete_simulated_annealing
84612,83,7022796,k3mm__opt5,discrete_simulated_annealing
88215,56,4940040,k3mm__opt5,discrete_simulated_annealing
86329,59,5093411,k3mm__opt5,discrete_simulated_annealing
49090,0,0,k3mm__opt5,grouped_discrete_simulated_annealing
23736,50,1186800,k7mmseq_balanced__opt5,random_search
23886,38,907668,k7mmseq_balanced__opt5,random_search
15984,78,1246752,k7mmseq_balanced__opt5,random_search
23870,42,1002540,k7mmseq_balanced__opt5,random_search
23720,56,1328320,k7mmseq_balanced__opt5,random_search
23623,62,1464626,k7mmseq_balanced__opt5,random_search
23645,58,1371410,k7mmseq_balanced__opt5,random_search
23570,68,1602760,k7mmseq_balanced__opt5,random_search
15982,82,1310524,k7mmseq_balanced__opt5,random_search
23811,44,1047684,k7mmseq_balanced__opt5,random_search
8677,0,0,k7mmseq_balanced__opt5,group_random_search
5678,32,181696,k7mmseq_balanced__opt5,group_random_search
5677,0,0,k7mmseq_balanced__opt5,heuristic
8677,0,0,k7mmseq_balanced__opt5,init_simulated_annealing
5678,32,181696,k7mmseq_balanced__opt5,init_simulated_annealing
18000,32,576000,k7mmseq_balanced__opt5,discrete_simulated_annealing
12514,46,575644,k7mmseq_balanced__opt5,discrete_simulated_annealing
23720,28,664160,k7mmseq_balanced__opt5,discrete_simulated_annealing
23779,22,523138,k7mmseq_balanced__opt5,discrete_simulated_annealing
15075,40,603000,k7mmseq_balanced__opt5,discrete_simulated_annealing
15056,42,632352,k7mmseq_balanced__opt5,discrete_simulated_annealing
15243,38,579234,k7mmseq_balanced__opt5,discrete_simulated_annealing
12497,56,699832,k7mmseq_balanced__opt5,discrete_simulated_annealing
5677,0,0,k7mmseq_balanced__opt5,grouped_discrete_simulated_annealing
26305,42,1104810,k7mmseq_unbalanced__opt5,random_search
19855,66,1310430,k7mmseq_unbalanced__opt5,random_search
26193,48,1257264,k7mmseq_unbalanced__opt5,random_search
23200,52,1206400,k7mmseq_unbalanced__opt5,random_search
10229,0,0,k7mmseq_unbalanced__opt5,group_random_search
10030,16,160480,k7mmseq_unbalanced__opt5,group_random_search
10030,32,320960,k7mmseq_unbalanced__opt5,heuristic
12250,30,367500,k7mmseq_unbalanced__opt5,heuristic
10229,0,0,k7mmseq_unbalanced__opt5,init_simulated_annealing
10030,16,160480,k7mmseq_unbalanced__opt5,init_simulated_annealing
19558,36,704088,k7mmseq_unbalanced__opt5,discrete_simulated_annealing
19123,46,879658,k7mmseq_unbalanced__opt5,discrete_simulated_annealing
19010,48,912480,k7mmseq_unbalanced__opt5,discrete_simulated_annealing
26062,24,625488,k7mmseq_unbalanced__opt5,discrete_simulated_annealing
16070,54,867780,k7mmseq_unbalanced__opt5,discrete_simulated_annealing
16063,58,931654,k7mmseq_unbalanced__opt5,discrete_simulated_annealing
25986,30,779580,k7mmseq_unbalanced__opt5,discrete_simulated_annealing
23178,32,741696,k7mmseq_unbalanced__opt5,discrete_simulated_annealing
10029,0,0,k7mmseq_unbalanced__opt5,grouped_discrete_simulated_annealing
8259,0,0,k7mmtree_balanced__opt5,group_random_search
8259,32,264288,k7mmtree_balanced__opt5,heuristic
11302,30,339060,k7mmtree_balanced__opt5,heuristic
8259,0,0,k7mmtree_balanced__opt5,init_simulated_annealing
