design_name,optimizer_name,n_total,n_no_deadlock,n_deadlock
k15mmtree_imbalanced__opt5,init_simulated_annealing,800,800,0
k15mmtree_imbalanced__opt5,discrete_simulated_annealing,8000,8000,0
k15mmtree_imbalanced__opt5,grouped_discrete_simulated_annealing,8000,8000,0
k15mmtree_relu__opt5,random_search,1000,230,770
k15mmtree_relu__opt5,group_random_search,1000,650,350
k15mmtree_relu__opt5,heuristic,852,828,24
k15mmtree_relu__opt5,init_simulated_annealing,1600,1565,35
k15mmtree_relu__opt5,discrete_simulated_annealing,8000,4581,3419
k15mmtree_relu__opt5,grouped_discrete_simulated_annealing,8000,6907,1093
k15mmtree_relu_imbalanced__opt5,random_search,1000,1000,0
k15mmtree_relu_imbalanced__opt5,group_random_search,1000,1000,0
k15mmtree_relu_imbalanced__opt5,heuristic,1020,1020,0
k15mmtree_relu_imbalanced__opt5,init_simulated_annealing,800,800,0
k15mmtree_relu_imbalanced__opt5,discrete_simulated_annealing,8000,8000,0
k15mmtree_relu_imbalanced__opt5,grouped_discrete_simulated_annealing,8000,8000,0
k2mm__opt5,random_search,1000,1000,0
k2mm__opt5,group_random_search,1000,1000,0
k2mm__opt5,heuristic,132,132,0
k2mm__opt5,init_simulated_annealing,400,400,0
k2mm__opt5,discrete_simulated_annealing,8000,8000,0
k2mm__opt5,grouped_discrete_simulated_annealing,8000,8000,0
k3mm__opt5,random_search,1000,1000,0
k3mm__opt5,group_random_search,1000,1000,0
k3mm__opt5,heuristic,420,420,0
k3mm__opt5,init_simulated_annealing,400,400,0
k3mm__opt5,discrete_simulated_annealing,8000,8000,0
k3mm__opt5,grouped_discrete_simulated_annealing,8000,8000,0
k7mmseq_balanced__opt5,random_search,1000,1000,0
k7mmseq_balanced__opt5,group_random_search,1000,1000,0
k7mmseq_balanced__opt5,heuristic,588,588,0
k7mmseq_balanced__opt5,init_simulated_annealing,800,800,0
k7mmseq_balanced__opt5,discrete_simulated_annealing,8000,8000,0
k7mmseq_balanced__opt5,grouped_discrete_simulated_annealing,8000,8000,0
k7mmseq_unbalanced__opt5,random_search,1000,1000,0
k7mmseq_unbalanced__opt5,group_random_search,1000,1000,0
k7mmseq_unbalanced__opt5,heuristic,636,636,0
k7mmseq_unbalanced__opt5,init_simulated_annealing,800,800,0
k7mmseq_unbalanced__opt5,discrete_simulated_annealing,8000,8000,0
k7mmseq_unbalanced__opt5,grouped_discrete_simulated_annealing,8000,8000,0
k7mmtree_balanced__opt5,random_search,1000,0,1000
k7mmtree_balanced__opt5,group_random_search,1000,655,345
k7mmtree_balanced__opt5,heuristic,420,348,72
k7mmtree_balanced__opt5,init_simulated_annealing,400,348,52
k7mmtree_balanced__opt5,discrete_simulated_annealing,8000,3702,4298
k7mmtree_balanced__opt5,grouped_discrete_simulated_annealing,8000,6889,1111
k7mmtree_unbalanced__opt5,random_search,1000,1000,0
k7mmtree_unbalanced__opt5,group_random_search,1000,1000,0
k7mmtree_unbalanced__opt5,heuristic,732,732,0
k7mmtree_unbalanced__opt5,init_simulated_annealing,800,800,0
k7mmtree_unbalanced__opt5,discrete_simulated_annealing,8000,8000,0
k7mmtree_unbalanced__opt5,grouped_discrete_simulated_annealing,8000,8000,0
mvt__opt5,random_search,1000,1000,0
mvt__opt5,group_random_search,1000,1000,0
mvt__opt5,heuristic,12,12,0
mvt__opt5,init_simulated_annealing,400,400,0
mvt__opt5,discrete_simulated_annealing,8000,8000,0
mvt__opt5,grouped_discrete_simulated_annealing,8000,8000,0
